dataset,episode,total_reward,num_steps,avg_reward,filter_actions,group_actions,back_actions,other_actions
0,0,10.071174664073071,12,0.8392645553394226,3,8,1,0
0,1,10.222117836866108,12,0.8518431530721756,3,8,1,0
0,2,10.190141854440014,12,0.8491784878700012,3,8,1,0
0,3,10.830359935035178,12,0.9025299945862648,3,8,1,0
0,4,13.718652407541152,12,1.1432210339617626,3,8,1,0
1,0,-0.8856438601750196,12,-0.07380365501458497,5,7,0,0
1,1,-0.8856438601750196,12,-0.07380365501458497,5,7,0,0
1,2,-0.8856438601750196,12,-0.07380365501458497,5,7,0,0
1,3,-0.8856438601750196,12,-0.07380365501458497,5,7,0,0
1,4,-0.8856438601750196,12,-0.07380365501458497,5,7,0,0
2,0,-8.445124032573876,12,-0.703760336047823,7,5,0,0
2,1,-8.481767671801165,12,-0.7068139726500972,7,5,0,0
2,2,-8.478375588829909,12,-0.7065312990691591,7,5,0,0
2,3,-8.473754857437633,12,-0.7061462381198028,7,5,0,0
2,4,-8.331265296829365,12,-0.6942721080691138,7,5,0,0
3,0,20.751851794301885,12,1.7293209828584903,2,9,1,0
3,1,20.74308297693521,12,1.728590248077934,2,9,1,0
3,2,20.744768840339606,12,1.7287307366949671,2,9,1,0
3,3,20.743185538224584,12,1.7285987948520487,2,9,1,0
3,4,21.061188904740515,12,1.7550990753950428,2,9,1,0
