dataset,session,bleu1,bleu2,bleu3,bleu4,gleu1,gleu2,gleu3,gleu4,precision,recall,f1
0,0,0.0909090909090909,0.30151134457776363,0.44964431302260915,0.5491004867761125,0.09090909090909091,0.047619047619047616,0.03333333333333333,0.02631578947368421,0.125,0.0625,0.08333333333333333
0,1,0.16666666666666669,0.408248290463863,0.5503212081491045,0.6389431042462724,0.16666666666666666,0.08695652173913043,0.06060606060606061,0.047619047619047616,0.18181818181818182,0.125,0.14814814814814814
0,2,0.25,0.5,0.6299605249474366,0.7071067811865476,0.16666666666666666,0.08695652173913043,0.06060606060606061,0.047619047619047616,0.3,0.1875,0.23076923076923075
0,3,0.16666666666666669,0.408248290463863,0.5503212081491045,0.6389431042462724,0.16666666666666666,0.08695652173913043,0.06060606060606061,0.047619047619047616,0.2,0.125,0.15384615384615385
0,4,0.3333333333333333,0.5773502691896257,0.6933612743506347,0.7598356856515925,0.25,0.13043478260869565,0.09090909090909091,0.07142857142857142,0.36363636363636365,0.25,0.2962962962962963
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.16666666666666669,0.408248290463863,0.5503212081491045,0.6389431042462724,0.08333333333333333,0.043478260869565216,0.030303030303030304,0.023809523809523808,0.2,0.18181818181818182,0.1904761904761905
1,2,0.36363636363636365,0.6030226891555273,0.7137658555036082,0.7765453555044466,0.2727272727272727,0.14285714285714285,0.10344827586206896,0.08333333333333333,0.36363636363636365,0.36363636363636365,0.36363636363636365
1,3,0.45454545454545453,0.674199862463242,0.7688809598286291,0.8210967436686386,0.36363636363636365,0.19047619047619047,0.13793103448275862,0.1111111111111111,0.45454545454545453,0.45454545454545453,0.45454545454545453
1,4,0.08333333333333333,0.28867513459481287,0.4367902323681494,0.537284965911771,0.08333333333333333,0.043478260869565216,0.030303030303030304,0.023809523809523808,0.08333333333333333,0.09090909090909091,0.08695652173913043
2,0,0.3333333333333333,0.5773502691896257,0.6933612743506347,0.7598356856515925,0.25,0.13043478260869565,0.09090909090909091,0.07142857142857142,0.4,0.23529411764705882,0.29629629629629634
2,1,0.16666666666666669,0.408248290463863,0.5503212081491045,0.6389431042462724,0.08333333333333333,0.043478260869565216,0.030303030303030304,0.023809523809523808,0.18181818181818182,0.11764705882352941,0.14285714285714285
2,2,0.0909090909090909,0.30151134457776363,0.44964431302260915,0.5491004867761125,0.09090909090909091,0.047619047619047616,0.03333333333333333,0.02631578947368421,0.1,0.058823529411764705,0.07407407407407408
2,3,0.25,0.5,0.6299605249474366,0.7071067811865476,0.25,0.13043478260869565,0.09090909090909091,0.07142857142857142,0.2727272727272727,0.17647058823529413,0.21428571428571427
2,4,0.36363636363636365,0.6030226891555273,0.7137658555036082,0.7765453555044466,0.18181818181818182,0.09523809523809523,0.06666666666666667,0.05263157894736842,0.4444444444444444,0.23529411764705882,0.30769230769230765
3,0,0.25,0.5,0.6299605249474366,0.7071067811865476,0.08333333333333333,0.043478260869565216,0.030303030303030304,0.023809523809523808,0.2727272727272727,0.21428571428571427,0.23999999999999996
3,1,0.08333333333333333,0.28867513459481287,0.4367902323681494,0.537284965911771,0.08333333333333333,0.043478260869565216,0.030303030303030304,0.023809523809523808,0.08333333333333333,0.07142857142857142,0.07692307692307691
3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.4166666666666667,0.6454972243679028,0.7469007910928608,0.8034284189446518,0.3333333333333333,0.17391304347826086,0.12121212121212122,0.09523809523809523,0.5,0.35714285714285715,0.41666666666666663
3,4,0.3,0.5477225575051661,0.6694329500821695,0.7400828044922853,0.2,0.1111111111111111,0.08,0.06451612903225806,0.3,0.21428571428571427,0.25
